Word,Count
|,6
the,5
as,5
to,5
if,5
TODO,4
a,3
#5265),2
preview,2
,2
\thumb,\,2
close,2
results,2
cause,2
all,2
bug,2
(likely,2
visible,2
it,2
value,2
around,2
empty,2
string,2
work,2
search,2
same,2
displaying,2
no,2
\for,\,2
on,2
pass,2
we,2
already,2
\g,\,1
parser,1
\Thompson,\,1
Javascript,1
problems,1
anything,1
icon,1
____________,1
invalid,1
called,1
directly,1
gérer,1
vCard.js,1
change,1
twice,1
remettre,1
match,1
vCards,1
span,1
License,1
append,1
MIT,1
Created,1
fix,1
http://jqueryui.com/demos/autocomplete/#combobox,1
Mattt,1
HACK,1
min,1
didn't,1
\"\device"\);\,1
ie,1
\this.extractOptionsFromDataAttributes("\data-device"\,\,1
have,1
erreur,1
result,1
by,1
2008,1
parent,1
̅̅̅̅̅̅̅̅̅̅̅̅,1
chars,1
\value,\,1
A,1
source:,1
listen,1
don't,1
Released,1
remove,1
click,1
special,1
for,1
\"\"\);\,1
under,1
